Individual,Gender
3a,M
5a,M
5b,M
6a,M
6b,M
7a,M
7b,M
16a,M
16b,M
17a,M
17b,M
19a,M
19b,M
20a,M
20b,M
21a,F
21b,F
28a,M
28b,M
31a,M
31b,M
32a,M
32b,M
33a,M
33b,M
36b,M
37a,F
37b,F
38a,M
38b,M
39a,M
39b,M
42a,M
42b,M
43a,M
43b,M
44a,M
44b,M
46a,F
46b,F
47a,M
47b,M
48a,F
48b,F
49a,F
49b,F
51a,F
51b,F
52a,M
52b,M
53a,M
53b,M
55a,M
55b,M
56a,M
56b,M
58a,M
58b,M
62a,F
62b,F
63a,M
63b,M
65a,M
65b,M
66a,M
66b,M
67a,M
67b,M
68a,M
68b,M
69b,M
72a,M
72b,M
74a,F
74b,F
77b,F
80a,M
80b,M
81a,M
81b,M
83a,M
83b,M
84a,M
84b,M
85a,M
85b,M
86a,F
87a,M
87b,M
89a,M
93a,F
94a,M
94b,M
100a,M
100b,M
102a,M
102b,M
106b,M
108a,M
108b,M
112a,M
112b,M
113a,M
113b,M
118a,M
118b,M
119a,M
120a,M
120b,M
123a,M
123b,M
124a,M
126a,M
126b,M
128b,M
132b,F
134a,F
134b,F
137a,M
137b,M
140a,F
140b,F
142a,F
142b,F
143a,M
143b,M
145a,M
145b,M
147a,M
151a,M
151b,M
153a,M
153b,M
154a,M
154b,M
156a,F
156b,F
157a,M
157b,M
158a,F
158b,F
159a,F
159b,F
160a,F
160b,F
162a,M
162b,M
163a,M
163b,M
164a,M
164b,M
168a,F
168b,F
170a,M
170b,M
172a,F
173b,F
174a,M
174b,M
175a,F
176a,M
176b,M
177a,M
177b,M
178a,M
178b,M
179a,M
180a,M
180b,M
181b,F
183a,M
183b,M
184a,F
184b,F
185a,F
185b,F
186a,F
186b,F
187a,F
187b,F
188a,M
188b,M
189a,M
189b,M
190a,M
190b,M
191a,M
191b,M
192a,F
192b,F
193a,M
193b,M
194a,F
194b,F
195a,M
195b,M
196a,F
196b,F
198a,F
198b,F
201a,F
201b,F
202a,F
202b,F
204a,F
204b,F
207a,M
207b,M
208a,F
208b,F
210a,F
210b,F
211a,M
211b,M
212a,F
212b,F
213a,F
213b,F
215a,M
215b,M
218a,F
218b,F
220b,F
222a,M
222b,M
223a,M
223b,M
224a,M
224b,M
226a,M
226b,M
227a,M
227b,M
228a,M
228b,M
229a,M
229b,M
230a,F
230b,F
231a,F
232a,M
232b,M
234a,M
234b,M
237a,M
237b,M
238a,M
238b,M
240a,M
240b,M
241a,F
241b,F
242a,M
242b,M
243a,M
243b,M
244a,M
244b,M
245a,M
245b,M
246a,M
246b,M
247a,M
247b,M
248b,F
251a,F
251b,F
252a,M
252b,M
253a,F
253b,F
254a,M
254b,M
255a,F
255b,F
256a,M
256b,M
257a,M
257b,M
258a,F
258b,F
259a,F
259b,F
260b,M
261a,F
261b,F
262a,M
262b,M
263a,F
263b,F
264a,F
264b,F
265a,M
265b,M
266a,M
266b,M
267a,F
267b,F
268a,M
268b,M
269a,F
269b,F
270a,F
270b,F
271a,F
271b,F
272a,F
272b,F
273a,F
273b,F
274a,M
274b,M
275a,F
275b,F
277a,F
277b,F
278a,F
278b,F
279a,M
279b,M
280a,M
280b,M
281a,M
281b,M
282a,M
282b,M
283a,F
283b,F
284a,F
284b,F
285a,F
285b,F
286a,F
286b,F
287a,M
287b,M
288a,F
288b,F
290a,M
290b,M
291a,F
291b,F
292a,M
292b,M
293a,M
293b,M
294a,M
294b,M
295a,F
295b,F
296a,M
296b,M
297a,F
297b,F
298a,M
298b,M
299a,F
299b,F
300a,F
300b,F
301a,M
301b,M
302a,M
302b,M
303a,M
303b,M
304a,F
304b,F
305a,F
305b,F
306a,M
306b,M
307a,M
307b,M
308a,F
308b,F
309a,F
309b,F
