ID,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8
3a,139.8249,146.5451,422.823,146.5581,159.1476,403.0874,163.2419,193.1713,425.6753,171.0626,166.4146,439.256,143.4852,143.9463,417.6719,157.4192,193.8217,441.3117,145.4513,164.8382,406.9475,172.915,156.3143,438.176
5a,142.3331,152.2993,413.2294,142.2225,152.525,392.2074,162.3725,186.2732,401.3311,168.6585,168.5798,419.4415,147.3045,146.2046,409.5663,163.9792,188.7448,407.5816,145.8282,171.2962,399.2124,169.0977,160.4695,423.1062
5b,208.6293,190.3086,381.1838,195.869,181.9526,371.853,179.6665,206.3907,388.1635,189.2538,192.7729,406.842,201.2634,179.2968,383.5983,177.852,211.9906,398.1371,199.1557,187.4628,371.9643,194.204,184.1418,408.3567
6a,184.3703,179.2946,395.1873,201.2509,174.632,382.4909,218.1201,195.5399,402.6091,206.82,181.9379,418.7852,188.2555,170.7689,394.559,216.7282,197.3133,409.2873,202.3258,185.2661,386.7432,204.3298,173.7471,417.7151
6b,223.5409,178.253,395.7633,201.1181,178.9279,386.377,192.6674,202.6483,406.8651,201.2639,190.0012,423.8687,208.2143,176.9073,390.4514,197.0121,204.4592,416.8168,208.0093,188.6251,386.2687,204.9075,176.2199,420.6939
7a,186.1893,173.3636,383.6679,199.0292,171.3672,371.2095,212.1929,200.6325,394.9251,202.8567,181.5881,412.5598,189.5262,165.2879,382.5432,210.3749,203.0948,398.4822,197.2056,180.4887,374.3848,199.5768,172.7464,412.658
7b,221.5392,169.7135,378.2744,210.8111,168.6837,369.2734,201.4372,200.6918,393.4749,209.0222,184.2915,409.7334,217.2661,163.1777,375.5565,205.786,204.5517,400.3195,214.9428,178.0658,370.381,213.94,170.5449,409.3404
16a,137.9332,154.1003,407.8285,148.3757,164.2919,377.7374,164.7534,192.0137,394.9002,168.1268,174.7895,415.066,140.8504,146.2591,404.2352,164.5223,194.0558,405.1968,145.2916,165.5779,379.8459,170.6299,162.3262,414.0007
16b,262.1411,155.6811,410.5652,254.0635,167.3463,381.9392,235.7012,198.1109,398.0508,230.6441,180.1564,416.3332,258.4678,152.9215,407.2578,234.0612,199.1738,407.0112,254.5187,180.7511,388.4413,229.8922,168.5322,416.25
17a,141.2833,154.0849,411.2728,151.1517,163.5038,389.3982,163.3257,195.2946,411.4002,170.4611,179.5489,428.888,143.4573,149.1803,411.132,161.7933,197.6778,414.8956,147.8804,170.0882,393.0794,173.0232,162.8825,425.8302
17b,226.9573,179.6675,394.354,208.3647,183.3322,379.5593,196.0444,214.4949,407.1668,203.1415,191.1281,419.6827,225.4314,175.035,394.9209,202.3913,219.2309,414.0529,212.1427,192.0944,380.9916,207.2647,181.5676,420.0516
19a,175.949,180.1455,412.2469,188.0391,185.7198,393.0658,210.3447,206.6641,411.8897,208.3528,185.5576,429.1292,176.8861,175.3241,410.6227,212.7229,208.7458,419.5881,185.9227,189.9295,395.6303,204.2608,177.1832,430.9007
19b,248.3129,167.5354,403.43,235.0954,171.3143,386.6576,221.7595,197.1681,401.8603,217.4736,182.977,424.0648,246.7051,162.844,404.5193,220.1516,203.5223,414.688,237.4829,178.9842,388.6041,219.7713,172.3399,425.0239
20a,171.2025,174.5562,419.1933,176.6986,176.6667,392.6194,199.6315,194.7174,402.6768,202.6131,183.9299,423.1636,171.7105,167.1436,416.7855,206.4,201.323,411.3002,177.9487,185.846,395.9099,198.6448,174.6246,425.1602
20b,237.5719,179.7577,422.5336,226.4501,185.695,399.5815,205.4346,206.8098,417.696,203.7836,192.6972,435.5005,235.0635,173.489,418.0377,201.3725,211.2677,431.9426,226.5087,195.0771,404.1841,209.2635,178.5365,433.6548
21a,179.3929,164.4113,422.9427,197.4241,175.3612,401.1727,213.2479,188.3026,415.754,210.7499,168.1626,431.4104,179.8118,157.6575,422.1792,215.2473,189.3496,420.316,199.803,180.7571,405.5368,207.3941,161.3739,431.1458
21b,238.9797,151.1096,426.7825,221.8584,163.8364,405.4435,209.7738,182.7959,420.6036,208.5352,164.3125,439.0842,236.0788,147.2446,421.2277,210.5069,183.3599,431.4849,223.1693,173.028,408.8029,210.5291,151.4515,437.0046
28a,170.7464,172.8267,394.7676,177.4753,174.7825,371.7714,192.4367,196.649,382.4714,194.799,183.9116,404.1812,170.9876,169.8705,381.4591,194.4271,201.9776,386.9915,177.4482,183.0758,374.4213,194.4228,178.3203,404.6159
