Id,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8
3a,-0.298060405,-0.134365491,-0.097645803,-0.278016102,0.089771223,0.161395581,0.335271674,0.046537146,0.220909171,0.227616275,0.055241577,-0.200207942,-0.338746959,-0.046711112,-0.098906598,0.421249517,-0.146129646,0.125204172,-0.200526204,0.037594931,0.190948945,0.131212205,0.098061371,-0.301697526
5a,-0.296868655,-0.111230027,-0.102873865,-0.363623888,0.106331581,0.181224227,0.3196326,0.01214947,0.225904992,0.220989804,0.021711247,-0.212212209,-0.336733724,0.027248393,-0.139349577,0.39241044,-0.051093677,0.153458598,-0.065694562,-0.052298147,0.229945826,0.129887985,0.04718116,-0.336097991
5b,-0.260294508,-0.171332816,-0.019221448,-0.304199525,0.097499308,0.160589221,0.288421296,-0.019885479,0.217915245,0.243350875,0.034556493,-0.229313615,-0.271295548,0.059111311,-0.077881225,0.466577052,-0.071470665,0.125216228,-0.279648802,-0.014381068,0.175409825,0.11708916,0.085902917,-0.352714231
6a,-0.30590222,-0.166281738,-0.090345402,-0.296527047,0.127839248,0.179330416,0.307381995,-0.002660205,0.215025239,0.253237355,0.01490827,-0.223488027,-0.33885584,-9.08E-04,-0.12742349,0.384496998,-0.058447244,0.125922339,-0.147465911,-0.014972243,0.223179387,0.14363467,0.100522244,-0.302200462
6b,-0.317936605,-0.193147319,-0.137628737,-0.282184214,0.138751574,0.142218186,0.285510264,0.023243045,0.218772348,0.322413001,0.010353648,-0.192152519,-0.30061058,0.047337876,0.009178059,0.405734327,-0.06370572,0.090678133,-0.233479959,-0.054152257,0.204245728,0.120553766,0.091319155,-0.335311198
7a,-0.260480411,-0.110126465,-0.050345156,-0.317449858,0.088568872,0.167983629,0.334217982,-0.011959513,0.20064844,0.254583243,0.033382923,-0.247144421,-0.332118141,0.011291585,-0.087561297,0.385669279,-0.060994061,0.165309654,-0.202911616,-0.022064787,0.197716479,0.138489521,0.071901445,-0.346607328
7b,-0.267353412,-0.081950859,-0.038221182,-0.327229872,0.076271532,0.123931426,0.329417211,0.01086712,0.198250063,0.296506371,0.03165212,-0.195697972,-0.349213376,0.023749898,-0.046352693,0.428835453,-0.071523701,0.130356264,-0.231940241,-0.046784284,0.178324727,0.120977867,0.057718172,-0.350590633
16a,-0.278189995,-0.163534133,-0.149880137,-0.214124398,0.11599997,0.248801455,0.312413235,0.011555003,0.203317237,0.245273451,0.002970592,-0.185768335,-0.355312665,-0.05771042,-0.179047561,0.380976412,-0.078328551,0.09789344,-0.215546819,0.057431407,0.245876015,0.124510779,0.111616132,-0.281192114
16b,-0.341718479,-0.136901748,-0.170527155,-0.266273242,0.136700836,0.214226771,0.311236722,0.014122408,0.213193151,0.24532845,0.008780055,-0.17511229,-0.353178307,-0.051629419,-0.174847325,0.378991135,-0.053835521,0.113724558,-0.099496878,-9.41E-04,0.259281189,0.125110599,0.083704523,-0.279938899
17a,-0.305686969,-0.123430965,-0.093029002,-0.258506745,0.118870935,0.197668803,0.324497674,-0.01427923,0.167373694,0.299559688,0.008792525,-0.195625541,-0.347625055,-0.075501519,-0.141085886,0.36299994,-0.067681478,0.152587992,-0.184444353,0.02650547,0.224588559,0.109205819,0.126724263,-0.312478618
